period,debt,debt_change,stocks,stocks_change,color,color_change,restaurant,restaurant_change,portfolio,portfolio_change,inflation,inflation_change,housing,housing_change,dow jones,dow jones_change,revenue,revenue_change,economics,economics_change
2012-01-01,83,0.0,23,0.0,55,0.0,61,0.0,79,0.0,30,0.0,92,0.0,2,0.0,79,0.0,75,0.0
2012-02-01,77,-0.07792207792207792,25,0.08,57,0.03508771929824561,66,0.07575757575757576,78,-0.01282051282051282,33,0.09090909090909091,94,0.02127659574468085,3,0.3333333333333333,90,0.12222222222222222,79,0.05063291139240506
2012-03-01,67,-0.14925373134328357,23,-0.08695652173913043,54,-0.05555555555555555,60,-0.1,77,-0.012987012987012988,32,-0.03125,89,-0.056179775280898875,2,-0.5,87,-0.034482758620689655,71,-0.11267605633802817
2012-04-01,69,0.028985507246376812,21,-0.09523809523809523,57,0.05263157894736842,63,0.047619047619047616,75,-0.02666666666666667,32,0.0,93,0.043010752688172046,2,0.0,100,0.13,77,0.07792207792207792
2012-05-01,64,-0.078125,22,0.045454545454545456,58,0.017241379310344827,63,0.0,75,0.0,31,-0.03225806451612903,93,0.0,3,0.3333333333333333,71,-0.4084507042253521,73,-0.0547945205479452
2012-06-01,63,-0.015873015873015872,18,-0.2222222222222222,56,-0.03571428571428571,62,-0.016129032258064516,70,-0.07142857142857142,25,-0.24,91,-0.02197802197802198,3,0.0,64,-0.109375,71,-0.028169014084507043
2012-07-01,60,-0.05,17,-0.058823529411764705,55,-0.01818181818181818,62,0.0,63,-0.1111111111111111,24,-0.041666666666666664,93,0.021505376344086023,2,-0.5,63,-0.015873015873015872,58,-0.22413793103448276
2012-08-01,64,0.0625,18,0.05555555555555555,59,0.06779661016949153,64,0.03125,67,0.05970149253731343,22,-0.09090909090909091,89,-0.0449438202247191,2,0.0,63,0.0,64,0.09375
2012-09-01,74,0.13513513513513514,20,0.1,58,-0.017241379310344827,61,-0.04918032786885246,73,0.0821917808219178,29,0.2413793103448276,85,-0.047058823529411764,2,0.0,60,-0.05,83,0.2289156626506024
2012-10-01,73,-0.0136986301369863,19,-0.05263157894736842,57,-0.017543859649122806,59,-0.03389830508474576,71,-0.028169014084507043,30,0.03333333333333333,83,-0.024096385542168676,3,0.3333333333333333,66,0.09090909090909091,80,-0.0375
